date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max
2021/07/28,51,31.4,23.5,27.5,36.2,26.7,0.4,0.4,0.0,3.0,17.0,29.5
2021/07/29,51,30.2,20.0,25.2,31.4,19.7,0.1,0.1,0.0,1.0,30.8,49.3
2021/08/06,53,25.5,20.0,22.2,25.7,19.7,8.3,8.3,0.0,18.0,27.5,49.7
2021/08/07,65,29.5,19.0,24.3,33.8,20.3,11.7,11.7,0.0,7.0,22.0,39.6
2021/08/08,61,30.4,23.7,26.5,32.0,24.5,2.6,2.6,0.0,6.0,29.6,47.2
2021/08/10,65,32.2,21.1,25.7,35.3,23.4,28.7,28.7,0.0,2.0,38.2,64.1
2021/08/10,65,32.2,21.1,25.7,35.3,23.4,28.7,28.7,0.0,2.0,38.2,64.1
2021/08/11,63,30.8,22.4,25.1,33.6,22.4,13.3,13.3,0.0,8.0,43.1,65.2
2021/08/12,51,31.6,22.6,26.2,34.4,24.3,0.2,0.2,0.0,1.0,29.1,49.0
2021/08/20,53,27.8,21.6,24.7,31.2,24.9,1.6,1.6,0.0,4.0,15.6,28.1
2021/08/21,53,30.0,22.5,26.0,32.3,24.7,1.5,1.5,0.0,4.0,21.9,36.4
2021/08/22,51,23.6,19.3,21.9,27.2,20.8,0.1,0.1,0.0,1.0,27.1,41.8
2021/08/23,51,30.8,18.4,24.5,33.6,20.7,0.1,0.1,0.0,1.0,17.0,26.6
2021/08/25,63,31.8,23.1,26.8,38.0,26.7,12.5,12.5,0.0,8.0,25.3,33.8
2021/08/25,63,31.8,23.1,26.8,38.0,26.7,12.5,12.5,0.0,8.0,25.3,33.8
2021/09/02,3,23.2,16.1,20.6,23.6,16.6,0.0,0.0,0.0,0.0,20.9,31.0
2021/09/03,53,24.1,17.5,21.2,22.6,16.8,1.3,1.3,0.0,2.0,21.4,34.6
2021/09/04,55,25.0,19.8,21.5,26.4,18.4,4.4,4.4,0.0,7.0,23.0,35.6
2021/09/05,2,27.2,16.4,21.7,25.4,15.5,0.0,0.0,0.0,0.0,22.5,34.9
2021/09/06,2,23.1,16.4,20.7,23.9,16.4,0.0,0.0,0.0,0.0,23.0,34.6
2021/09/07,63,29.3,18.5,22.5,27.0,17.5,6.3,6.3,0.0,4.0,41.4,63.0
2021/09/08,2,24.8,15.8,20.0,21.8,13.7,0.0,0.0,0.0,0.0,26.0,43.2
2021/09/10,2,25.4,15.0,20.4,24.7,14.4,0.0,0.0,0.0,0.0,19.7,30.2
2021/09/11,3,29.7,18.6,23.7,30.3,17.3,0.0,0.0,0.0,0.0,26.5,40.7
2021/09/12,3,30.9,19.9,24.1,32.0,20.1,0.0,0.0,0.0,0.0,25.6,42.1
2021/09/21,63,22.4,16.9,19.2,22.0,13.7,17.0,17.0,0.0,19.0,31.7,48.2
2021/09/22,53,16.6,15.1,15.8,12.9,8.6,2.8,2.8,0.0,8.0,47.6,73.4
2021/09/24,53,23.8,12.6,18.1,19.7,9.1,0.7,0.7,0.0,2.0,36.7,58.3
2021/09/24,53,23.8,12.6,18.1,19.7,9.1,0.7,0.7,0.0,2.0,36.7,58.3
2021/09/25,51,20.1,10.4,15.4,15.5,7.2,0.5,0.5,0.0,2.0,24.3,41.4
2021/09/26,3,25.8,13.9,19.6,21.9,9.6,0.0,0.0,0.0,0.0,30.7,47.5
2022/04/07,53,8.2,4.0,5.4,1.9,-1.7,2.6,2.6,0.0,13.0,34.7,55.1
2022/04/09,71,5.3,-1.0,2.4,1.6,-6.1,0.2,0.0,0.14,1.0,22.4,37.1
2022/04/10,3,12.7,-1.6,7.0,8.4,-5.4,0.0,0.0,0.0,0.0,34.1,50.8
2022/04/18,73,6.7,1.3,2.9,1.5,-4.7,6.7,3.9,1.96,20.0,33.2,51.1
2022/04/19,3,6.3,1.3,4.0,3.0,-4.8,0.0,0.0,0.0,0.0,26.9,41.8
2022/04/20,61,10.1,3.8,7.2,4.4,-1.3,3.7,3.7,0.0,7.0,40.0,70.2
2022/04/21,51,19.5,8.4,13.2,15.9,5.3,1.4,1.4,0.0,5.0,33.0,54.0
2022/04/22,55,13.4,6.7,9.6,10.4,2.3,4.3,4.3,0.0,11.0,34.9,51.5
2022/04/23,3,25.0,13.7,19.6,22.8,10.8,0.0,0.0,0.0,0.0,36.5,54.4
2022/04/24,63,21.6,13.8,19.0,19.4,9.5,9.8,9.8,0.0,11.0,41.1,62.6
2022/05/03,65,8.9,5.8,7.1,4.2,-1.1,26.8,26.8,0.0,18.0,41.9,64.8
2022/05/04,3,8.2,4.1,6.1,5.8,-1.1,0.0,0.0,0.0,0.0,35.7,56.2
2022/05/07,2,11.2,5.5,8.6,8.4,1.5,0.0,0.0,0.0,0.0,25.8,38.5
2022/05/07,2,11.2,5.5,8.6,8.4,1.5,0.0,0.0,0.0,0.0,25.8,38.5
2022/05/08,3,14.9,6.0,11.3,12.4,2.6,0.0,0.0,0.0,0.0,26.0,39.2
2022/05/16,3,23.7,12.4,18.2,19.8,9.8,0.0,0.0,0.0,0.0,28.7,47.2
2022/05/17,51,15.1,9.9,12.2,13.1,6.5,0.1,0.1,0.0,1.0,23.5,37.1
2022/05/18,61,14.6,11.0,12.1,12.8,7.7,6.3,6.3,0.0,10.0,22.7,37.1
2022/05/19,3,28.0,10.2,19.9,27.0,9.1,0.0,0.0,0.0,0.0,31.4,45.0
2022/05/20,63,29.6,13.9,21.8,27.6,13.2,17.5,17.5,0.0,8.0,44.4,68.4
2022/05/21,65,16.4,12.7,14.7,16.2,11.7,33.2,33.2,0.0,21.0,17.1,31.3
2022/05/22,51,15.4,9.9,12.8,13.8,6.9,0.1,0.1,0.0,1.0,23.4,36.0
2022/05/30,3,28.4,19.6,24.3,28.6,17.4,0.0,0.0,0.0,0.0,34.2,52.6
2022/05/30,3,28.4,19.6,24.3,28.6,17.4,0.0,0.0,0.0,0.0,34.2,52.6
2022/05/31,63,28.1,21.1,24.6,29.0,20.4,4.4,4.4,0.0,3.0,30.4,46.8
2022/06/01,61,20.5,13.8,17.1,21.4,12.6,3.4,3.4,0.0,3.0,18.9,34.2
2022/06/02,53,20.0,13.9,17.2,22.1,13.7,0.6,0.6,0.0,2.0,15.5,30.2
2022/06/03,0,25.8,14.3,19.6,23.4,11.6,0.0,0.0,0.0,0.0,23.9,39.2
2022/06/04,3,17.5,11.9,15.4,17.1,10.3,0.0,0.0,0.0,0.0,17.1,32.4
2022/06/04,3,17.5,11.9,15.4,17.1,10.3,0.0,0.0,0.0,0.0,17.1,32.4
2022/06/05,51,18.9,14.6,16.7,19.8,13.6,0.5,0.5,0.0,3.0,17.1,31.0
2022/06/13,63,29.0,12.3,19.9,32.2,11.1,8.1,8.1,0.0,7.0,33.0,48.2
2022/06/14,3,34.8,20.9,28.6,38.9,23.0,0.0,0.0,0.0,0.0,27.5,49.3
2022/06/15,3,34.5,25.3,30.0,35.5,27.1,0.0,0.0,0.0,0.0,38.4,56.2
2022/06/16,3,33.4,22.4,28.0,32.5,23.8,0.0,0.0,0.0,0.0,37.2,55.8
2022/06/17,1,26.6,18.1,23.1,29.1,16.2,0.0,0.0,0.0,0.0,20.9,34.2
2022/06/18,3,17.9,13.1,16.2,16.4,10.4,0.0,0.0,0.0,0.0,23.4,40.7
2022/06/19,3,28.5,11.9,20.8,26.7,10.6,0.0,0.0,0.0,0.0,22.4,32.4
2022/06/28,3,28.5,14.5,22.0,27.4,13.0,0.0,0.0,0.0,0.0,22.1,34.6
2022/06/29,55,26.4,18.9,22.6,29.1,18.6,2.0,2.0,0.0,2.0,21.0,37.8
2022/06/30,3,32.8,21.5,27.1,31.4,20.6,0.0,0.0,0.0,0.0,28.8,45.4
2022/07/01,51,26.2,19.4,22.6,26.8,21.0,0.2,0.2,0.0,2.0,27.1,50.8
2022/07/02,3,25.2,17.6,22.0,25.3,17.9,0.0,0.0,0.0,0.0,15.7,28.1
2022/07/03,1,25.9,17.5,22.4,27.8,18.2,0.0,0.0,0.0,0.0,15.5,29.5
2022/07/12,1,29.3,20.5,24.5,28.5,19.2,0.0,0.0,0.0,0.0,21.9,34.2
2022/07/13,51,24.5,18.6,21.0,26.1,19.2,0.4,0.4,0.0,2.0,24.1,40.3
2022/07/14,2,22.1,16.7,19.9,23.7,16.6,0.0,0.0,0.0,0.0,21.1,38.2
2022/07/16,53,22.3,19.0,20.8,24.6,18.9,2.2,2.2,0.0,7.0,26.0,42.8
2022/07/16,53,22.3,19.0,20.8,24.6,18.9,2.2,2.2,0.0,7.0,26.0,42.8
2022/07/17,51,23.1,19.7,21.4,25.5,20.7,1.7,1.7,0.0,10.0,24.7,35.3
2022/07/25,51,23.0,19.6,21.3,24.0,19.8,0.2,0.2,0.0,2.0,17.3,30.2
2022/07/26,3,24.5,16.9,21.4,25.6,17.6,0.0,0.0,0.0,0.0,19.6,33.8
2022/08/05,3,27.0,19.8,23.6,31.7,21.7,0.0,0.0,0.0,0.0,18.8,33.5
2022/08/06,53,32.0,22.2,26.9,35.8,26.0,3.4,3.4,0.0,11.0,20.0,30.2
2022/08/07,63,28.6,23.6,25.3,33.6,25.6,27.6,27.6,0.0,14.0,23.4,36.7
2022/08/08,65,28.5,19.5,23.3,31.9,18.0,16.0,16.0,0.0,12.0,31.4,50.4
2022/08/09,51,21.2,17.0,19.6,21.3,17.4,0.3,0.3,0.0,2.0,23.1,38.2
2022/08/10,3,25.6,15.1,21.1,28.6,15.7,0.0,0.0,0.0,0.0,16.0,27.0
2022/08/19,51,28.8,18.9,23.5,28.0,19.2,0.1,0.1,0.0,1.0,21.3,35.6
2022/08/20,63,25.9,19.5,21.8,28.9,19.7,14.8,14.8,0.0,17.0,23.3,41.8
2022/08/21,63,22.1,19.0,20.6,23.5,20.0,11.3,11.3,0.0,10.0,22.6,38.5
2022/08/22,1,23.5,17.6,20.9,26.4,18.3,0.0,0.0,0.0,0.0,15.9,26.6
2022/08/23,3,25.7,17.2,21.5,27.9,17.8,0.0,0.0,0.0,0.0,13.7,25.6
2022/08/23,3,25.7,17.2,21.5,27.9,17.8,0.0,0.0,0.0,0.0,13.7,25.6
2022/08/24,3,25.6,17.6,22.0,28.4,18.8,0.0,0.0,0.0,0.0,18.6,32.0
2022/08/25,65,26.9,18.3,22.0,30.6,18.4,15.2,15.2,0.0,10.0,21.9,35.6
2022/09/06,51,23.4,19.0,21.1,26.2,20.4,0.8,0.8,0.0,8.0,16.4,29.5
2022/09/07,51,23.4,19.0,21.3,24.5,20.6,1.3,1.3,0.0,7.0,16.7,30.6
2022/09/08,3,26.4,16.2,21.7,27.6,17.5,0.0,0.0,0.0,0.0,16.3,23.0
2022/09/09,0,26.7,16.2,21.7,26.9,15.6,0.0,0.0,0.0,0.0,18.7,30.2
2022/09/10,3,26.2,16.0,21.8,28.3,17.2,0.0,0.0,0.0,0.0,17.2,30.2
2022/09/11,65,21.0,14.7,18.9,24.0,8.6,62.3,62.3,0.0,15.0,58.7,87.1
2022/09/16,3,27.8,17.6,22.4,27.1,18.1,0.0,0.0,0.0,0.0,20.5,31.7
2022/09/17,53,29.5,19.8,23.9,27.4,20.0,0.8,0.8,0.0,2.0,31.4,46.1
2022/09/18,63,29.1,20.9,24.1,29.3,20.0,4.6,4.6,0.0,3.0,22.5,36.7
2022/09/27,3,14.1,8.6,11.6,8.9,4.7,0.0,0.0,0.0,0.0,28.2,43.9
2022/09/28,51,13.2,10.3,11.8,9.6,5.7,0.4,0.4,0.0,4.0,28.1,42.1
2022/09/29,3,14.6,9.0,11.9,12.6,6.6,0.0,0.0,0.0,0.0,15.0,25.9
2022/09/30,1,15.9,8.5,13.0,15.0,6.5,0.0,0.0,0.0,0.0,17.1,25.9
